POLICY_CODE,OS_NB_CODE,OS_CODE,INPUTOUTPUT,POLICY,SUBPOLICY,INDICATOR_CODE,SUBPOLICY_CODE,JAF_KEY,NBMAIN,IFMAIN,NBCOUNTRY,IFCOUNTRY,NBCOMPEDIUM,COMPENDIUMID,IFCOMPEDIUM,INDICATOR_FULL,INDICATOR_EXPLANATION,INDICATOR_TABLE,INDICATOR_CHART,LINKDOC,LINKDOC_OLE,REFYEAR,REFERNECPOINT,GENSENSE,SENSEWITHMAIN,UNITLONG,UNITSHORT,UNITCHANGE,IF_CALCULATION,CALCULATION,CHANGE_CALCUL,SOURCE,LAGGED _REFERENCE YEAR,DIFFER _REFERENCE COUNTRY,FOOTNOTE_MAIN,IFPOPWEIGHT,SILC_INCOME,DECIMALX,CLEANING,PROVIDER data,EMPL calcul,table,standard,cond1,cond2,cond3,cond4,cond5,cond6,comments,output_file,formula_engine,formula,factor1,factor2,factor3,factor4,factor5,factor6,factor7,factor8,factor9,factor10,factor11,factor12,factor13,factor14,IND_CODE
PA11c,S1,Subindicator,Output,,,PA11c.S1,T,PA11c.S1.T,,,24,country,24,1,compendium,At-risk-of poverty rate of older people (aged 65+) - total,,At-risk of poverty rate in old age total (65+),At-risk of poverty rate (T 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=T,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.T
PA11c,S1,Subindicator,Output,,,PA11c.S1,M,PA11c.S1.M,,,25,country,25,1,compendium,At-risk-of poverty rate of older people (aged 65+) - men,,At-risk of poverty rate in old age men (65+),At-risk of poverty rate (M 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of men 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=M,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.M
PA11c,S1,Subindicator,Output,,,PA11c.S1,F,PA11c.S1.F,,,26,country,26,1,compendium,At-risk-of poverty rate of older people (aged 65+) - women,,At-risk of poverty rate in old age women (65+),At-risk of poverty rate (W 65+),At risk of poverty rate of older people (65+) by sex,,,,-,+,% (of women 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li02,Y,sex=F,unit=PC,indic_il=LI_R_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S1.F
PA11c,S2,Subindicator,Output,,,PA11c.S2,T,PA11c.S2.T,,,27,country,27,1,compendium,Severe material deprivation of older people (aged 65+) - total,,Severe material deprivation total (65+),Sev. mat. depr. (T 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of popn 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=T,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.T
PA11c,S2,Subindicator,Output,,,PA11c.S2,M,PA11c.S2.M,,,28,country,28,1,compendium,Severe material deprivation of older people (aged 65+) - men,,Severe material deprivation men (65+),Sev. mat. depr. (M 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of men 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=M,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.M
PA11c,S2,Subindicator,Output,,,PA11c.S2,F,PA11c.S2.F,,,29,country,29,1,compendium,Severe material deprivation of older people (aged 65+) - women,,Severe material deprivation women (65+),Sev. mat. depr. (W 65+),Severe material deprivation of older people (65+) by sex,,,,-,+,% (of women 65+),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",1.0,,,,,1,,,,ilc_mddd11,Y,sex=F,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11c.S2.F
PA11,S8,Subindicator,Input,,,PA11.S8,,PA11.S8.,11g,Main,30,country,30,1,compendium,Relative median poverty risk gap,"Difference between the at-risk-of-poverty threshold (set at 60 % of the national median equivalised disposable income after social transfers) and the median equivalised disposable income of persons below the same at-risk-of-poverty threshold, expressed as a percentage of the at-risk-of-poverty threshold.",Poverty gap,Poverty gap,,,,,-,+,% (of AROP threshold),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li11,Y,sex=T,indic_il=LI_GAP_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S8.
PA11,S9,Subindicator,Input,,,PA11.S9,,PA11.S9.,,,31,country,31,1,compendium,Persistent at-risk-of-poverty rate,,Persistent at-risk-of-poverty rate,Persistent at-risk-of-poverty rate,,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li21,Y,sex=T,indic_il=LIP_MD60,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S9.
PA11,S9,Subindicator,Input,,,PA11.S9,0-17,PA11.S9.0-17,,,32,country,32,1,compendium,Persistent at-risk-of-poverty rate (0-17),,Persistent at-risk-of-poverty rate (0-17),Persistent at-risk-of-poverty rate (0-17),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li21,Y,sex=T,indic_il=LIP_MD60,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,,PA11.S9.0-17
PA11,S9,Subindicator,Input,,,PA11.S9,18-64,PA11.S9.18-64,,,33,country,33,1,compendium,Persistent at-risk-of-poverty rate (18-64),,Persistent at-risk-of-poverty rate (18-64),Persistent at-risk-of-poverty rate (18-64),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li21,Y,sex=T,indic_il=LIP_MD60,age=Y18-64,,,,,,,,,,,,,,,,,,,,,,PA11.S9.18-64
PA11,S9,Subindicator,Input,,,PA11.S9,GE65,PA11.S9.GE65,,,34,country,34,1,compendium,Persistent at-risk-of-poverty rate (aged 65+),,Persistent at-risk-of-poverty rate (aged 65+),Persistent at-risk-of-poverty rate (aged 65+),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_li21,Y,sex=T,indic_il=LIP_MD60,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,,PA11.S9.GE65
PA11,S10,Subindicator,Input,,,PA11.S10,,PA11.S10.,,,35,country,35,1,compendium,S80/S20,,S80/S20,S80/S20,,,,,-,+,ratio,ratio,ratio change,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_di11,Y,sex=T,unit=RAT,age=TOTAL,,,,,,,,,,,,,,,,,,,,,,PA11.S10.
PA11,S14,Subindicator,Input,,,PA11.S14,,PA11.S14.,,,36,country,36,1,compendium,Interquintile share ratios S80/S50,,Interquintile share ratios S80/S50,Interquintile share ratios S80/S50,,,,,-,,ratio,ratio,ratio change,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,empl_S80S50,N,,,,,,,,empl_S80S50,Y,a/(b+c),"['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=QU5']]","['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=Q1']]","['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=Q2']]",,,,,,,,,,,,PA11.S14.
PA11,S15,Subindicator,Input,,,PA11.S15,,PA11.S15.,,,37,country,37,1,compendium,Interquintile share ratios S50/S20,,Interquintile share ratios S50/S20,Interquintile share ratios S50/S20,,,,,-,,ratio,ratio,ratio change,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,empl_S50S20,N,,,,,,,,empl_S50S20,Y,(a+b)/c,"['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=Q1']]","['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=Q2']]","['ilc_di01',['currency=EUR','indic_il=SHARE','quantile=QU1']]",,,,,,,,,,,,PA11.S15.
PA11,S13,Subindicator,Input,,,PA11.S13,T,PA11.S13.T,,,38,country,38,1,compendium,Material and social deprivation - total,,Material and social deprivation - total,Material and social deprivation - total,,,,,-,,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_mdsd07,Y,age=TOTAL,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11.S13.T
PA11a,S11,Subindicator,Input,,,PA11a.S11,,PA11a.S11.,,,39,country,39,1,compendium,Material and social deprivation for children (0-17),,Material and social deprivation for children (0-17),Material and social deprivation for children (0-17),,,,,-,,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_mdsd07,Y,age=Y_LT18,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11a.S11.
PA11b,S12,Subindicator,Input,,,PA11b.S12,T,PA11b.S12.T,,,40,country,40,1,compendium,Material and social deprivation - (18-64) total,(A person is considered as materially and socially deprived when he/she experiences an enforced lack of 5 or more of the 13 deprivation items in lists),Material and soc. deprivation (18-64),Material and soc. deprivation (18-64),,,,,-,+,% (of popn 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,ilc_mdsd07,Y,age=Y18-64,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11b.S12.T
PA11c,S9,Subindicator,Input,,,PA11c.S9,T,PA11c.S9.T,,,41,country,41,1,compendium,Material and social deprivation - (65+) total,,Material and social deprivation - (65+) total,Material and social deprivation - (65+) total,,,,,-,,% (of popn 65+),%,pp,no,,-3,,,,,,,1,,,,ilc_mdsd07,Y,age=Y_GE65,sex=T,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11c.S9.T
PA11c,S9,Subindicator,Input,,,PA11c.S9,M,PA11c.S9.M,,,42,country,42,1,compendium,Material and social deprivation - (65+) males,,Material and social deprivation - (65+) males,Material and social deprivation - (65+) males,,,,,-,,% (of popn 65+),%,pp,no,,-3,,,,,,,1,,,,ilc_mdsd07,Y,age=Y_GE65,sex=M,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11c.S9.M
PA11c,S9,Subindicator,Input,,,PA11c.S9,F,PA11c.S9.F,,,43,country,43,1,compendium,Material and social deprivation - (65+) females,,Material and social deprivation - (65+) females,Material and social deprivation - (65+) females,,,,,-,,% (of popn 65+),%,pp,no,,-3,,,,,,,1,,,,ilc_mdsd07,Y,age=Y_GE65,sex=F,unit=PC,,,,,,,,,,,,,,,,,,,,,,PA11c.S9.F
PA11,S11,Subindicator,Input,,,PA11.S11,,PA11.S11.,,,44,country,44,1,compendium,Housing cost overburden,,Housing cost overburden,Housing cost overburden,,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_lvho07a,Y,sex=T,incgrp=TOTAL,unit=PC,age=TOTAL,,,,,,,,,,,,,,,,,,,,,PA11.S11.
PA11,S12,Subindicator,Input,,,PA11.S12,,PA11.S12.,11h,Main,45,country,45,1,compendium,Housing Deprivation,(The share of the population lacking at least one of the 4 housing deprivation items),Housing Deprivation,Housing Deprivation,,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,empl_hous_deprv,N,,,,,,,,empl_hous_deprv,Y,100-a,"['ilc_mddd04b',['age=TOTAL','n_item=0','sex=T','unit=PC']]",,,,,,,,,,,,,,PA11.S12.
PA11a,S7,Subindicator,Output,,,PA11a.S7,,PA11a.S7.,,,46,country,46,1,compendium,Housing cost overburden (0-17),,Housing cost overburden (0-17),Housing cost overburden (0-17),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_lvho07a,Y,sex=T,incgrp=TOTAL,unit=PC,age=Y_LT18,,,,,,,,,,,,,,,,,,,,,PA11a.S7.
PA11a,S8,Subindicator,Output,,,PA11a.S8,,PA11a.S8.,,,47,country,47,1,compendium,Housing deprivation (0-17),(The share of the child population (0-17) in households lacking at least one of the 4 housing deprivation items),Housing deprivation (0-17),Housing deprivation (0-17),,,,,-,+,% (of popn 0-17),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,empl_hous_deprv_0_17,N,,,,,,,,empl_hous_deprv_0_17,Y,100-a,"['ilc_mddd04b',['age=Y_LT18','n_item=0','sex=T','unit=PC']]",,,,,,,,,,,,,,PA11a.S8.
PA11b,S10,Subindicator,Input,,,PA11b.S10,,PA11b.S10.,,,48,country,48,1,compendium,Housing cost overburden (18-64),,Housing cost overburden (18-64),Housing cost overburden (18-64),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_lvho07a,Y,sex=T,incgrp=TOTAL,unit=PC,age=Y18-64,,,,,,,,,,,,,,,,,,,,,PA11b.S10.
PA11b,S11,Subindicator,Input,,,PA11b.S11,,PA11b.S11.,,,49,country,49,1,compendium,Housing deprivation (18-64),(The share of the working age population (18-64) in households lacking at least one of the 4 housing deprivation items),Housing deprivation (18-64),Housing deprivation (18-64),,,,,-,+,% (of popn 18-64),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,,1,,,,empl_hous_deprv_18_64,N,,,,,,,,empl_hous_deprv_18_64,Y,100-a,"['ilc_mddd04b',['age=Y18-64','n_item=0','sex=T','unit=PC']]",,,,,,,,,,,,,,PA11b.S11.
PA11c,S7,Subindicator,Input,,,PA11c.S7,,PA11c.S7.,,,50,country,50,1,compendium,Housing cost overburden (65+),,Housing cost overburden (65+),Housing cost overburden (65+),,,,,-,+,% (of total popn),%,pp,no,,-3,"Eurostat, EU Statistics on Income and Living Conditions",,,,,yes,1,,,,ilc_lvho07a,Y,sex=T,incgrp=TOTAL,unit=PC,age=Y_GE65,,,,,,,,,,,,,,,,,,,,,PA11c.S7.
